"gene" "baseMean" "log2FoldChange.x" "lfcSE" "pvalue" "padj"
"MT_Pool_HQ_transcript/120554" 17.0979195018711 -0.80288366963935 0.541631123754367 5.90142499245423e-07 0.000673680448583053
"MT_Pool_HQ_transcript/156791" 63.9947386227937 -0.792477804419085 0.202110478274813 4.128055321312e-06 0.00326243387470457
"MT_Pool_HQ_transcript/165946" 464.048671831978 -0.017640189514808 0.126493599616936 1.74351826070515e-05 0.00913161623871176
"MT_Pool_HQ_transcript/171189" 19.5038351261753 -1.10030783616825 0.684354354033435 3.01878779353316e-06 0.00281954779915997
"MT_Pool_HQ_transcript/232369" 60.0962014478614 -1.20701999574763 0.24692786903785 4.76789710802629e-08 9.79707497757243e-05
"MT_Pool_HQ_transcript/266358" 17.7412705429959 -1.29839426770242 0.41311604678788 4.21538063335167e-05 0.0160403039359463
"MT_Pool_HQ_transcript/272399" 74.2717090918072 -0.0661290437890836 0.152263502595486 0.000110843117267423 0.0367355544130808
"MT_Pool_HQ_transcript/297451" 57.3802024604138 -0.0207223398676443 0.125968504352382 0.00014512196418577 0.0465932206263938
"MT_Pool_HQ_transcript/308150" 73.3833851664048 -0.0975551528563116 0.194064755226567 9.75107467137973e-09 5.00912705868777e-05
"MT_Pool_HQ_transcript/309941" 28.087239332055 -0.0410272122662034 0.135059637155638 1.51464597032702e-05 0.00913161623871176
"MT_Pool_HQ_transcript/325305" 25.0832501789628 2.75515886497709 0.169534229153855 9.02105338619683e-06 0.00662016446355616
"MT_Pool_HQ_transcript/341411" 19.8129881101613 -5.32213106399524 0.79948505298054 3.30186520396677e-05 0.0135752427030603
"MT_Pool_HQ_transcript/358954" 31.3715309314994 -0.0680384222573235 0.154358368835839 1.77761655415841e-05 0.00913161623871176
"MT_Pool_HQ_transcript/371555" 69.2571699649889 3.9882668876976 1.12457345808789 1.9642537490602e-05 0.00960987762754502
"MT_Pool_HQ_transcript/37695" 89.5575448371688 -0.13756889348664 0.320421461473488 2.3481334550121e-06 0.00241247231167943
"MT_Pool_HQ_transcript/383771" 216.483571814565 -1.360916481014 0.384024250937769 1.48599901621037e-05 0.00913161623871176
"MT_Pool_HQ_transcript/384135" 6456.74623744859 0.86601524466343 0.243447943836119 3.47289829518809e-07 0.00044600696355953
"MT_Pool_HQ_transcript/385256" 167.304307663188 0.186766664870938 0.260683188582781 0.000102992667310709 0.0352715554650075
"MT_Pool_HQ_transcript/387547" 113.103234700777 -0.0355745197590396 0.132456241835074 3.16867543059468e-05 0.0135752427030603
"MT_Pool_HQ_transcript/388939" 14.8654287088027 -2.65877362084693 0.735942448288499 1.64325239406207e-05 0.00913161623871176
"MT_Pool_HQ_transcript/389170" 63.0765610484154 1.67457870661276 0.336870351225703 2.95325294965621e-08 9.14278365579439e-05
"MT_Pool_HQ_transcript/392002" 42.8611654334487 -0.0229078933941072 0.127955598358155 8.11820621879128e-05 0.0287608450661592
"MT_Pool_HQ_transcript/392828" 102.072513444801 2.9051943162423 0.914432952369113 4.43346343810996e-05 0.0162676440582649
"MT_Pool_HQ_transcript/394938" 239.12663310892 0.240711444742784 0.238874069668272 4.03758276052577e-05 0.0159546635698622
"MT_Pool_HQ_transcript/395053" 116.570089044929 -0.095052625396816 0.188415071940183 3.88398650699313e-06 0.00326243387470457
"MT_Pool_HQ_transcript/397908" 194.102378899642 2.5013924958892 1.00485954108896 5.53201212426077e-10 5.68358925646551e-06
"MT_Pool_HQ_transcript/399129" 26.8992848673312 -0.0236385954516375 0.128206573259386 3.5595809444401e-08 9.14278365579439e-05
"MT_Pool_HQ_transcript/399692" 19.973806869594 -0.0264923894173196 0.129077231295476 1.04953009865328e-07 0.000154041031908055
"MT_Pool_HQ_transcript/400131" 14.2771861180931 -1.12751374902008 0.522883095699342 2.6264056839655e-05 0.0122653145441189
"MT_Pool_HQ_transcript/402015" 841.070530173083 0.0217826930466646 0.127106489073665 7.29826600542383e-08 0.000124970641566207
"MT_Pool_HQ_transcript/405929" 88.7561693041314 -0.0199431901398661 0.12689868637071 1.73828289738077e-05 0.00913161623871176
"MT_Pool_HQ_transcript/60955" 216.787447061205 -3.44505107596643 0.917854891601043 3.303300248944e-05 0.0135752427030603
