"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"MT_Pool_HQ_transcript/391185" 10.7532414703112 -7.13144746897582e-05 0.0335690379589505 0.937053500921533 0.999974410307988
"MT_Pool_HQ_transcript/384890" 13.4729142073424 0.00384988421640849 0.0337703742595892 0.210073806663444 0.999974410307988
"MT_Pool_HQ_transcript/305159" 7.95268317318244 -0.00451892354158992 0.0339982932228003 0.00841153417144908 NA
"MT_Pool_HQ_transcript/346974" 9.23219610727596 -0.000673341413484974 0.0335880683233951 0.236223226332372 0.999974410307988
"MT_Pool_HQ_transcript/167087" 9.56374547900196 0.00148955472855702 0.0336006903410759 0.3076555692986 0.999974410307988
"MT_Pool_HQ_transcript/384846" 11.6220687465968 -0.00122869738414315 0.0335603435337665 0.524281439458829 0.999974410307988
"MT_Pool_HQ_transcript/399154" 145.228084785964 -0.00149704865626487 0.0336018369142205 0.296349557693856 0.999974410307988
"MT_Pool_HQ_transcript/99779" 17.1438651612391 0.00010061090183807 0.0334085193891007 0.977505767009334 0.999974410307988
"MT_Pool_HQ_transcript/117420" 23.5169731399649 -0.00356635236328157 0.0336047648701443 0.386588589141961 0.999974410307988
"MT_Pool_HQ_transcript/409803" 8.68550392573757 -0.000444763516415736 0.0335622110802334 0.726243442100738 0.999974410307988
"MT_Pool_HQ_transcript/394468" 8.81426233871896 0.00179040448618884 0.0336345526838878 0.123842276975718 0.999974410307988
"MT_Pool_HQ_transcript/378527" 10.1166578592301 0.000122672938573382 0.0335728288518962 0.88310402398785 0.999974410307988
"MT_Pool_HQ_transcript/138528" 9.72700690079031 0.00373260200490197 0.033815598400424 0.103024560722506 0.999974410307988
"MT_Pool_HQ_transcript/410406" 53.5387062724607 0.00673505330272542 0.0342841498928207 0.134285716996527 0.999974410307988
"MT_Pool_HQ_transcript/375993" 543.142782780147 5.35343854430294e-05 0.0330704714714861 0.995309021022907 0.999974410307988
"MT_Pool_HQ_transcript/78385" 31.8689737648701 -0.00403676863923918 0.0337208343725468 0.294298146595197 0.999974410307988
"MT_Pool_HQ_transcript/378021" 14.3465921009878 -0.000554536416478704 0.0335838535858422 0.365492505342117 0.999974410307988
"MT_Pool_HQ_transcript/385176" 6.056418557584 -0.000813824127045563 0.0335493304334252 0.649021727828378 NA
"MT_Pool_HQ_transcript/18561" 24.9411187407399 -0.000577362031432712 0.0334446900224621 0.851066303165329 0.999974410307988
"MT_Pool_HQ_transcript/68861" 11.6349050639831 -0.000658649530539662 0.0335346943513315 0.73560722214737 0.999974410307988
"MT_Pool_HQ_transcript/262512" 28.6158021943225 0.000907435686901377 0.0335934596657281 0.216293973809814 0.999974410307988
"MT_Pool_HQ_transcript/156997" 10.1449748399365 -0.00644818628488156 0.0344288913065732 0.00875503027057672 0.525810736476655
"MT_Pool_HQ_transcript/220207" 15.2071255698077 -0.000233517558249509 0.0335718312045226 0.787129808835841 0.999974410307988
"MT_Pool_HQ_transcript/176485" 6.9066350095755 0.00370751946020886 0.0337976706932127 0.130394391737383 NA
"MT_Pool_HQ_transcript/288501" 7.89793023648841 0.000449342264368279 0.0335798157234787 0.519560532825122 NA
"MT_Pool_HQ_transcript/331669" 15.8703775129939 -0.000587381336511298 0.0335842785761341 0.355523595627047 0.999974410307988
"MT_Pool_HQ_transcript/364482" 8.19125252987298 0.000718332046699812 0.0335815317182223 0.0798765413848375 NA
"MT_Pool_HQ_transcript/348141" 129.050062185888 0.000369475299030302 0.0335675160699413 0.740919043105004 0.999974410307988
"MT_Pool_HQ_transcript/83907" 6.85034721434125 -0.00182791976031611 0.0335501275142668 0.494262888898709 NA
"MT_Pool_HQ_transcript/387312" 15.8305293263257 -0.00274697768640214 0.0337138840258255 0.0862931642226918 0.999974410307988
"MT_Pool_HQ_transcript/943" 42.8457818139567 0.00610311632669489 0.0340450553585894 0.211315561522902 0.999974410307988
"MT_Pool_HQ_transcript/320525" 28.6753467776974 -0.000611167474619927 0.0335804132279465 0.461977209520611 0.999974410307988
"MT_Pool_HQ_transcript/390536" 13.0155025945566 0.00113388402934681 0.0335886860176676 0.356786521250792 0.999974410307988
"MT_Pool_HQ_transcript/15912" 65.38684375994 -0.00107141040892369 0.0334462001780169 0.742036050529957 0.999974410307988
"MT_Pool_HQ_transcript/375482" 8.30036163739356 0.00145272460573459 0.0336160489662266 0.140039145663604 NA
"MT_Pool_HQ_transcript/355890" 17.8065161873988 0.000503401641278269 0.0335158974407177 0.821027954057089 0.999974410307988
"MT_Pool_HQ_transcript/360731" 8.35497219311834 -0.000303908022705388 0.0335749215690291 0.698752575287286 NA
"MT_Pool_HQ_transcript/373585" 13.47766187866 -0.00544120211557204 0.0340832135772065 0.0953524303729534 0.999974410307988
"MT_Pool_HQ_transcript/32249" 45.3258015350392 0.000833626335119539 0.0335802959668411 0.447976730237154 0.999974410307988
"MT_Pool_HQ_transcript/398244" 106.036995634423 0.000137306843190136 0.0335702478981907 0.887410327018818 0.999974410307988
"MT_Pool_HQ_transcript/380699" 6.55449488152762 0.00140002137162027 0.0335794082979513 0.429653946666405 NA
"MT_Pool_HQ_transcript/382446" 32.4274384351694 -0.00128655822706179 0.0335825681348521 0.421121972173589 0.999974410307988
"MT_Pool_HQ_transcript/203998" 9.59828812036652 -0.00650003630372323 0.0344070676799586 0.0241420787225361 0.811140534380542
"MT_Pool_HQ_transcript/29008" 8.41289946938856 -0.00101540694071305 0.0335524555335109 0.588200531052065 0.999974410307988
